Models with a negative R2 score for LRELU, RANDN scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.920151722616483
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.920151789211566
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.920152455162475
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.920159114677459
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.920225354440192
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.920884263784286
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.9201517152170196
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -5.838922587216963
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -5.838923143698448
Learning rate: 0.0001, Lambda: 0.001, R2 score: -5.838928708518165
Learning rate: 0.0001, Lambda: 0.01, R2 score: -5.838983240542748
Learning rate: 0.0001, Lambda: 0.1, R2 score: -5.8395347805830875
Learning rate: 0.0001, Lambda: 1.0, R2 score: -5.844944376284591
Learning rate: 0.0001, Lambda: 0.0, R2 score: -5.838922525385721
Learning rate: 0.001, Lambda: 1e-05, R2 score: -0.556962970481151
Learning rate: 0.001, Lambda: 0.0001, R2 score: -0.5569634368237577
Learning rate: 0.001, Lambda: 0.001, R2 score: -0.5569681054596656
Learning rate: 0.001, Lambda: 0.01, R2 score: -0.5570036990388025
Learning rate: 0.001, Lambda: 0.1, R2 score: -0.5574421060193482
Learning rate: 0.001, Lambda: 1.0, R2 score: -0.5615699819025954
Learning rate: 0.001, Lambda: 0.0, R2 score: -0.5569629200677457
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.862776909808107
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.86277755090675
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.8627868589429974
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.8621932521638165
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.862064444494134
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.860708083912615
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.862776922735944
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -4.897971949203672
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -4.897972865056629
Learning rate: 0.0001, Lambda: 0.001, R2 score: -4.897995896730053
Learning rate: 0.0001, Lambda: 0.01, R2 score: -4.896425646398385
Learning rate: 0.0001, Lambda: 0.1, R2 score: -4.895724247400773
Learning rate: 0.0001, Lambda: 1.0, R2 score: -4.878707492651179
Learning rate: 0.0001, Lambda: 0.0, R2 score: -4.897971837447025
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.2345889773267
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.3129447552731999
Learning rate: 1.0, Lambda: 1e-05, R2 score: -0.16915889312127796
Learning rate: 1.0, Lambda: 0.0001, R2 score: -0.16137159317228567
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.8669878331570684e+19
Learning rate: 1.0, Lambda: 0.0, R2 score: -1.1470491922122243
RMSprop:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -4.874559168671395
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -4.874560175319224
Learning rate: 1e-05, Lambda: 0.001, R2 score: -4.874579993600093
Learning rate: 1e-05, Lambda: 0.01, R2 score: -4.873042643926432
Learning rate: 1e-05, Lambda: 0.1, R2 score: -4.872310311272121
Learning rate: 1e-05, Lambda: 1.0, R2 score: -4.855229404308533
Learning rate: 1e-05, Lambda: 0.0, R2 score: -4.874559062558856
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.2456942726933242
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.457349657044023
Learning rate: 0.1, Lambda: 1e-05, R2 score: -0.4236748323139976
Learning rate: 0.1, Lambda: 0.0001, R2 score: -0.1538284498563074
Learning rate: 0.1, Lambda: 0.001, R2 score: -0.17344669000926083
