Models with a negative R2 score for LRELU, XAVIER scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -179.40071977269358
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -179.40072432392327
Learning rate: 1e-05, Lambda: 0.001, R2 score: -179.40076983622367
Learning rate: 1e-05, Lambda: 0.01, R2 score: -179.40122495989422
Learning rate: 1e-05, Lambda: 0.1, R2 score: -179.4057762625075
Learning rate: 1e-05, Lambda: 1.0, R2 score: -179.45129588212046
Learning rate: 1e-05, Lambda: 0.0, R2 score: -179.40071926700108
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -186.36777216295278
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -186.36781954908415
Learning rate: 0.0001, Lambda: 0.001, R2 score: -186.3682934111021
Learning rate: 0.0001, Lambda: 0.01, R2 score: -186.37303210005024
Learning rate: 0.0001, Lambda: 0.1, R2 score: -186.42042590697824
Learning rate: 0.0001, Lambda: 1.0, R2 score: -186.89505059709262
Learning rate: 0.0001, Lambda: 0.0, R2 score: -186.36776689782786
Learning rate: 0.001, Lambda: 1e-05, R2 score: -280.4460798240086
Learning rate: 0.001, Lambda: 0.0001, R2 score: -280.4468105441567
Learning rate: 0.001, Lambda: 0.001, R2 score: -280.4541178542108
Learning rate: 0.001, Lambda: 0.01, R2 score: -280.5272029688251
Learning rate: 0.001, Lambda: 0.1, R2 score: -281.25911890387584
Learning rate: 0.001, Lambda: 1.0, R2 score: -288.6880769130149
Learning rate: 0.001, Lambda: 0.0, R2 score: -280.44599863300465
Learning rate: 0.01, Lambda: 1e-05, R2 score: -67.66308586006176
Learning rate: 0.01, Lambda: 0.0001, R2 score: -67.66477005246588
Learning rate: 0.01, Lambda: 0.001, R2 score: -67.68163440344314
Learning rate: 0.01, Lambda: 0.01, R2 score: -67.85049346641296
Learning rate: 0.01, Lambda: 0.1, R2 score: -69.56205220333969
Learning rate: 0.01, Lambda: 1.0, R2 score: -89.12252244100402
Learning rate: 0.01, Lambda: 0.0, R2 score: -67.66289859105402
Learning rate: 0.1, Lambda: 1.0, R2 score: -2.3333443406355925
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.3005200037645954
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -871.96158714847
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -871.9739271420076
Learning rate: 1e-05, Lambda: 0.001, R2 score: -872.0145284120027
Learning rate: 1e-05, Lambda: 0.01, R2 score: -872.367444795594
Learning rate: 1e-05, Lambda: 0.1, R2 score: -878.2088923263775
Learning rate: 1e-05, Lambda: 1.0, R2 score: -879.9492545442037
Learning rate: 1e-05, Lambda: 0.0, R2 score: -871.9128817166649
Learning rate: 0.0001, Lambda: 1.0, R2 score: -3.5160648932947405
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.4675060308361694
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.3022161913834407
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.5231262668229903
Learning rate: 1.0, Lambda: 0.0001, R2 score: -0.00977679407323051
Learning rate: 1.0, Lambda: 0.001, R2 score: -0.07680982398658465
Learning rate: 1.0, Lambda: 0.01, R2 score: -7.703990469341315
Learning rate: 1.0, Lambda: 0.1, R2 score: -3313762812.065368
Learning rate: 1.0, Lambda: 1.0, R2 score: -8.543402150175489e+17
RMSprop:
Learning rate: 1e-05, Lambda: 1.0, R2 score: -3.4631161637878813
Learning rate: 0.0001, Lambda: 1.0, R2 score: -1.4727472035015867
