Models with a negative R2 score for RELU, RANDN scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.942180449972877
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.942180516837284
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.942181185481783
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.942187841861606
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.942254382490478
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.942915946134262
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.942180442543437
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -5.858259525932855
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -5.85826008481501
Learning rate: 0.0001, Lambda: 0.001, R2 score: -5.858265661632084
Learning rate: 0.0001, Lambda: 0.01, R2 score: -5.858319882346372
Learning rate: 0.0001, Lambda: 0.1, R2 score: -5.858869619615352
Learning rate: 0.0001, Lambda: 1.0, R2 score: -5.864307116337044
Learning rate: 0.0001, Lambda: 0.0, R2 score: -5.858259463834886
Learning rate: 0.001, Lambda: 1e-05, R2 score: -0.5594056049856035
Learning rate: 0.001, Lambda: 0.0001, R2 score: -0.559406105895871
Learning rate: 0.001, Lambda: 0.001, R2 score: -0.5594104476486801
Learning rate: 0.001, Lambda: 0.01, R2 score: -0.5594546409899019
Learning rate: 0.001, Lambda: 0.1, R2 score: -0.5598953897846564
Learning rate: 0.001, Lambda: 1.0, R2 score: -0.5640714593227873
Learning rate: 0.001, Lambda: 0.0, R2 score: -0.5594055502997173
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.884731925589945
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.884731814634217
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.884730785513373
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.884719968247641
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.88453507539534
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.88316090060115
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.884975932625613
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -4.920040530604033
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -4.920042148137662
Learning rate: 0.0001, Lambda: 0.001, R2 score: -4.920046445949816
Learning rate: 0.0001, Lambda: 0.01, R2 score: -4.919987039823976
Learning rate: 0.0001, Lambda: 0.1, R2 score: -4.918599364139515
Learning rate: 0.0001, Lambda: 1.0, R2 score: -4.900992244173715
Learning rate: 0.0001, Lambda: 0.0, R2 score: -4.918776262723079
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.234294738368816
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.4484852190564532
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.386904216132693
RMSprop:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -4.896633583525911
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -4.896635624695696
Learning rate: 1e-05, Lambda: 0.001, R2 score: -4.896638917608022
Learning rate: 1e-05, Lambda: 0.01, R2 score: -4.896584661942308
Learning rate: 1e-05, Lambda: 0.1, R2 score: -4.895192200051988
Learning rate: 1e-05, Lambda: 1.0, R2 score: -4.877488120957319
Learning rate: 1e-05, Lambda: 0.0, R2 score: -4.895348707793039
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.2471834709514282
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.5319581132173528
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.3956195002538765
Learning rate: 1.0, Lambda: 0.0001, R2 score: -2.9318531902507e+30
Learning rate: 1.0, Lambda: 0.001, R2 score: -2.9318531902506867e+30
Learning rate: 1.0, Lambda: 0.01, R2 score: -2.9318531902492754e+30
Learning rate: 1.0, Lambda: 0.1, R2 score: -2.93185319025005e+30
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.1727412760980575e+31
Learning rate: 1.0, Lambda: 0.0, R2 score: -2.9318531902500764e+30
ADAM:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.914592605568976
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.914592590083265
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.914592460390973
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.9145905928340925
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.914518036030929
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.913214088763246
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.9145958426368335
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -5.4276683657525675
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -5.427668849721137
Learning rate: 0.0001, Lambda: 0.001, R2 score: -5.427680097240882
Learning rate: 0.0001, Lambda: 0.01, R2 score: -5.427776763741364
Learning rate: 0.0001, Lambda: 0.1, R2 score: -5.427615929333787
Learning rate: 0.0001, Lambda: 1.0, R2 score: -5.411772262306767
Learning rate: 0.0001, Lambda: 0.0, R2 score: -5.4277121572255025
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.132359688721234
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.1672724351948678
