Models with a negative R2 score for RELU, XAVIER scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -179.65062636540694
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -179.65063092324021
Learning rate: 1e-05, Lambda: 0.001, R2 score: -179.65067650158423
Learning rate: 1e-05, Lambda: 0.01, R2 score: -179.65113228568498
Learning rate: 1e-05, Lambda: 0.1, R2 score: -179.65569019272255
Learning rate: 1e-05, Lambda: 1.0, R2 score: -179.70127586636818
Learning rate: 1e-05, Lambda: 0.0, R2 score: -179.65062585898
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -186.62398563034154
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -186.62403308450442
Learning rate: 0.0001, Lambda: 0.001, R2 score: -186.6245076268126
Learning rate: 0.0001, Lambda: 0.01, R2 score: -186.6292528285657
Learning rate: 0.0001, Lambda: 0.1, R2 score: -186.6767145724685
Learning rate: 0.0001, Lambda: 1.0, R2 score: -187.15201975470347
Learning rate: 0.0001, Lambda: 0.0, R2 score: -186.6239803576579
Learning rate: 0.001, Lambda: 1e-05, R2 score: -280.7527887696113
Learning rate: 0.001, Lambda: 0.0001, R2 score: -280.75352034968466
Learning rate: 0.001, Lambda: 0.001, R2 score: -280.76083625916704
Learning rate: 0.001, Lambda: 0.01, R2 score: -280.83400613008473
Learning rate: 0.001, Lambda: 0.1, R2 score: -281.5667860000584
Learning rate: 0.001, Lambda: 1.0, R2 score: -289.00452516770173
Learning rate: 0.001, Lambda: 0.0, R2 score: -280.75270748305826
Learning rate: 0.01, Lambda: 1e-05, R2 score: -67.7467660762283
Learning rate: 0.01, Lambda: 0.0001, R2 score: -67.74845292878818
Learning rate: 0.01, Lambda: 0.001, R2 score: -67.76534476516409
Learning rate: 0.01, Lambda: 0.01, R2 score: -67.93435748708946
Learning rate: 0.01, Lambda: 0.1, R2 score: -69.64732005079647
Learning rate: 0.01, Lambda: 1.0, R2 score: -89.22395921957914
Learning rate: 0.01, Lambda: 0.0, R2 score: -67.74657865065058
Learning rate: 0.1, Lambda: 1.0, R2 score: -2.3376276795294193
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.2997842001650262
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -893.0727847762909
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -893.0735097789529
Learning rate: 1e-05, Lambda: 0.001, R2 score: -893.08256645918
Learning rate: 1e-05, Lambda: 0.01, R2 score: -893.1614024263398
Learning rate: 1e-05, Lambda: 0.1, R2 score: -897.9787212823259
Learning rate: 1e-05, Lambda: 1.0, R2 score: -862.5640002532114
Learning rate: 1e-05, Lambda: 0.0, R2 score: -893.0725464910403
Learning rate: 0.0001, Lambda: 1.0, R2 score: -3.8334407842693086
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.4446030089466255
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.3040379143016234
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.4898266726357887
Learning rate: 1.0, Lambda: 1.0, R2 score: -2.974982104460428e+30
RMSprop:
Learning rate: 1e-05, Lambda: 1.0, R2 score: -3.625559107248791
Learning rate: 0.0001, Lambda: 1.0, R2 score: -1.444069276225945
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.25659764935051
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.4931755228306156
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.1928932721565392e+31
Learning rate: 1.0, Lambda: 0.001, R2 score: -1.1894724994823279e+31
Learning rate: 1.0, Lambda: 0.01, R2 score: -1.1894724994823279e+31
Learning rate: 1.0, Lambda: 0.1, R2 score: -1.189472499482118e+31
Learning rate: 1.0, Lambda: 1.0, R2 score: -2.9736812486972955e+30
ADAM:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -996.5343265046364
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -996.5336235183989
Learning rate: 1e-05, Lambda: 0.001, R2 score: -996.5260331939766
Learning rate: 1e-05, Lambda: 0.01, R2 score: -996.4242180817087
Learning rate: 1e-05, Lambda: 0.1, R2 score: -997.9924422526822
Learning rate: 1e-05, Lambda: 1.0, R2 score: -708.8120845644065
Learning rate: 1e-05, Lambda: 0.0, R2 score: -996.5344039416381
Learning rate: 0.0001, Lambda: 0.1, R2 score: -0.03174842035472181
Learning rate: 0.0001, Lambda: 1.0, R2 score: -7.302767259134624
Learning rate: 0.001, Lambda: 1.0, R2 score: -1.2274419319811494
Learning rate: 0.01, Lambda: 1.0, R2 score: -1.1667691750282954
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.3570133301192433
Learning rate: 1.0, Lambda: 0.0001, R2 score: -1.171469590735184e+31
Learning rate: 1.0, Lambda: 0.001, R2 score: -2.928673977211156e+30
Learning rate: 1.0, Lambda: 0.01, R2 score: -1.301632878556122e+30
Learning rate: 1.0, Lambda: 0.1, R2 score: -2.928664222209279e+30
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.171495353254951e+31
Learning rate: 1.0, Lambda: 0.0, R2 score: -1.1714695907856703e+31
