Models with a negative R2 score for sigmoid, RANDN scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -59.74497838771938
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -59.74497890912711
Learning rate: 1e-05, Lambda: 0.001, R2 score: -59.74498412320628
Learning rate: 1e-05, Lambda: 0.01, R2 score: -59.745036264029245
Learning rate: 1e-05, Lambda: 0.1, R2 score: -59.745557675597006
Learning rate: 1e-05, Lambda: 1.0, R2 score: -59.75077212509174
Learning rate: 1e-05, Lambda: 0.0, R2 score: -59.744978329785035
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -54.53943411872564
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -54.53943881185
Learning rate: 0.0001, Lambda: 0.001, R2 score: -54.539485743128594
Learning rate: 0.0001, Lambda: 0.01, R2 score: -54.53995505890199
Learning rate: 0.0001, Lambda: 0.1, R2 score: -54.54464851570664
Learning rate: 0.0001, Lambda: 1.0, R2 score: -54.591613005178324
Learning rate: 0.0001, Lambda: 0.0, R2 score: -54.539433597267035
Learning rate: 0.001, Lambda: 1e-05, R2 score: -21.71945930463809
Learning rate: 0.001, Lambda: 0.0001, R2 score: -21.719475638353167
Learning rate: 0.001, Lambda: 0.001, R2 score: -21.71963897653418
Learning rate: 0.001, Lambda: 0.01, R2 score: -21.721272461191425
Learning rate: 0.001, Lambda: 0.1, R2 score: -21.737617598132005
Learning rate: 0.001, Lambda: 1.0, R2 score: -21.90210353492841
Learning rate: 0.001, Lambda: 0.0, R2 score: -21.71945748978208
Learning rate: 0.1, Lambda: 1e-05, R2 score: -4.222074677849895
Learning rate: 0.1, Lambda: 0.0001, R2 score: -4.22297796512918
Learning rate: 0.1, Lambda: 0.001, R2 score: -4.232025585402164
Learning rate: 0.1, Lambda: 0.01, R2 score: -4.323994758824386
Learning rate: 0.1, Lambda: 0.1, R2 score: -5.413123851549568
Learning rate: 0.1, Lambda: 1.0, R2 score: -106.9273855392964
Learning rate: 0.1, Lambda: 0.0, R2 score: -4.221974329127956
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -58.498821623013626
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -58.49877984925201
