Models with a negative R2 score for sigmoid, XAVIER scheme, on the 1D dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -1632.8399221873244
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -1632.8399537181747
Learning rate: 1e-05, Lambda: 0.001, R2 score: -1632.8402690267512
Learning rate: 1e-05, Lambda: 0.01, R2 score: -1632.8434221161526
Learning rate: 1e-05, Lambda: 0.1, R2 score: -1632.8749533905557
Learning rate: 1e-05, Lambda: 1.0, R2 score: -1633.1903041780918
Learning rate: 1e-05, Lambda: 0.0, R2 score: -1632.8399186839108
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -1589.9320231087709
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -1589.9323334727164
Learning rate: 0.0001, Lambda: 0.001, R2 score: -1589.9354371160148
Learning rate: 0.0001, Lambda: 0.01, R2 score: -1589.9664739267894
Learning rate: 0.0001, Lambda: 0.1, R2 score: -1590.2768798300808
Learning rate: 0.0001, Lambda: 1.0, R2 score: -1593.3847218136746
Learning rate: 0.0001, Lambda: 0.0, R2 score: -1589.9319886238882
Learning rate: 0.001, Lambda: 1e-05, R2 score: -1316.0842483564797
Learning rate: 0.001, Lambda: 0.0001, R2 score: -1316.0870916968156
Learning rate: 0.001, Lambda: 0.001, R2 score: -1316.1155254743037
Learning rate: 0.001, Lambda: 0.01, R2 score: -1316.3999006833205
Learning rate: 0.001, Lambda: 0.1, R2 score: -1319.247399721762
Learning rate: 0.001, Lambda: 1.0, R2 score: -1348.1006528461148
Learning rate: 0.001, Lambda: 0.0, R2 score: -1316.0839324302126
Learning rate: 0.01, Lambda: 1e-05, R2 score: -14069.182267341092
Learning rate: 0.01, Lambda: 0.0001, R2 score: -14069.568702198247
Learning rate: 0.01, Lambda: 0.001, R2 score: -14073.433647363994
Learning rate: 0.01, Lambda: 0.01, R2 score: -14112.142821684405
Learning rate: 0.01, Lambda: 0.1, R2 score: -14505.270426631625
Learning rate: 0.01, Lambda: 1.0, R2 score: -19109.19470570416
Learning rate: 0.01, Lambda: 0.0, R2 score: -14069.139330805221
