Models with a negative R2 score for RELU, XAVIER scheme, on the Franke dataset:
SGD:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -81.78131047553319
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -81.78131255649396
Learning rate: 1e-05, Lambda: 0.001, R2 score: -81.78133336610422
Learning rate: 1e-05, Lambda: 0.01, R2 score: -81.78154146250651
Learning rate: 1e-05, Lambda: 0.1, R2 score: -81.78362245673922
Learning rate: 1e-05, Lambda: 1.0, R2 score: -81.80443542003435
Learning rate: 1e-05, Lambda: 0.0, R2 score: -81.78131024431529
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -83.02184642076723
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -83.02186756526422
Learning rate: 0.0001, Lambda: 0.001, R2 score: -83.02207901054523
Learning rate: 0.0001, Lambda: 0.01, R2 score: -83.02419349406651
Learning rate: 0.0001, Lambda: 0.1, R2 score: -83.04534140106897
Learning rate: 0.0001, Lambda: 1.0, R2 score: -83.25712795670103
Learning rate: 0.0001, Lambda: 0.0, R2 score: -83.02184407137885
Learning rate: 0.001, Lambda: 1e-05, R2 score: -96.33259464157378
Learning rate: 0.001, Lambda: 0.0001, R2 score: -96.33284223091658
Learning rate: 0.001, Lambda: 0.001, R2 score: -96.33531816056262
Learning rate: 0.001, Lambda: 0.01, R2 score: -96.36008107936603
Learning rate: 0.001, Lambda: 0.1, R2 score: -96.60807286602879
Learning rate: 0.001, Lambda: 1.0, R2 score: -99.12461594034137
Learning rate: 0.001, Lambda: 0.0, R2 score: -96.33256713168763
Learning rate: 0.01, Lambda: 1e-05, R2 score: -87.85702207913886
Learning rate: 0.01, Lambda: 0.0001, R2 score: -87.8593378245503
Learning rate: 0.01, Lambda: 0.001, R2 score: -87.88237333500058
Learning rate: 0.01, Lambda: 0.01, R2 score: -88.11304001291892
Learning rate: 0.01, Lambda: 0.1, R2 score: -90.4520884392524
Learning rate: 0.01, Lambda: 1.0, R2 score: -117.4976220015701
Learning rate: 0.01, Lambda: 0.0, R2 score: -87.85676617599442
Learning rate: 0.1, Lambda: 1.0, R2 score: -5.304945168759614
Learning rate: 1.0, Lambda: 1.0, R2 score: -4.730600838625649
Adagrad:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -166.76346431704096
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -166.763386187544
Learning rate: 1e-05, Lambda: 0.001, R2 score: -166.76282119279432
Learning rate: 1e-05, Lambda: 0.01, R2 score: -166.7410790394129
Learning rate: 1e-05, Lambda: 0.1, R2 score: -164.93999075164646
Learning rate: 1e-05, Lambda: 1.0, R2 score: -144.44662002234514
Learning rate: 1e-05, Lambda: 0.0, R2 score: -166.76347276501107
Learning rate: 0.0001, Lambda: 1.0, R2 score: -12.633150377431749
Learning rate: 0.001, Lambda: 1.0, R2 score: -2.2011693835129376
Learning rate: 0.01, Lambda: 1.0, R2 score: -4.066912750091103
Learning rate: 0.1, Lambda: 1.0, R2 score: -3.5766088599358934
Learning rate: 1.0, Lambda: 0.01, R2 score: -2.5764178657694097
Learning rate: 1.0, Lambda: 1.0, R2 score: -2.1691487103782925
RMSprop:
Learning rate: 1e-05, Lambda: 1.0, R2 score: -12.462755900843868
Learning rate: 0.0001, Lambda: 1.0, R2 score: -2.245363077790575
Learning rate: 0.001, Lambda: 1.0, R2 score: -4.059128755401828
Learning rate: 0.01, Lambda: 1.0, R2 score: -3.3154337239837597
Learning rate: 0.1, Lambda: 1.0, R2 score: -6.613938843016132e+30
Learning rate: 1.0, Lambda: 0.0001, R2 score: -6.614314372204157e+30
Learning rate: 1.0, Lambda: 0.001, R2 score: -6.614314372289822e+30
Learning rate: 1.0, Lambda: 0.01, R2 score: -2.6457257488683163e+31
Learning rate: 1.0, Lambda: 0.1, R2 score: -2.939695265250643e+30
Learning rate: 1.0, Lambda: 0.0, R2 score: -6.614314372194253e+30
ADAM:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -158.88271257395056
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -158.88278902714802
Learning rate: 1e-05, Lambda: 0.001, R2 score: -158.88338916897447
Learning rate: 1e-05, Lambda: 0.01, R2 score: -158.87527300701066
Learning rate: 1e-05, Lambda: 0.1, R2 score: -157.4342734432861
Learning rate: 1e-05, Lambda: 1.0, R2 score: -134.30558874620598
Learning rate: 1e-05, Lambda: 0.0, R2 score: -158.88270389046133
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -0.5891723303744487
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -0.5893438065311167
Learning rate: 0.0001, Lambda: 0.001, R2 score: -0.5911116014230755
Learning rate: 0.0001, Lambda: 0.01, R2 score: -0.6109681816999006
Learning rate: 0.0001, Lambda: 0.1, R2 score: -0.9114421935416823
Learning rate: 0.0001, Lambda: 1.0, R2 score: -19.601034822756176
Learning rate: 0.0001, Lambda: 0.0, R2 score: -0.5891532661747125
Learning rate: 0.001, Lambda: 1.0, R2 score: -4.330902635648356
Learning rate: 0.01, Lambda: 1.0, R2 score: -3.7155907829100947
Learning rate: 0.1, Lambda: 1.0, R2 score: -3.7413194529030296
